Generate Summary Results + 489347 in   7.2s = 68411.4/s Avg:     4 Min:     0 Max:    57 Err:     0 (0.00%) Active: 667 Started: 667 Finished: 0
Generate Summary Results + 2074872 in    30s = 69162.4/s Avg:    14 Min:     0 Max:   141 Err:     0 (0.00%) Active: 1000 Started: 1000 Finished: 0
Generate Summary Results = 2564219 in  37.2s = 69017.8/s Avg:    12 Min:     0 Max:   141 Err:     0 (0.00%)
Generate Summary Results + 1995023 in    30s = 66500.8/s Avg:    15 Min:     0 Max:    63 Err:     0 (0.00%) Active: 1000 Started: 1000 Finished: 0
Generate Summary Results = 4559242 in  67.2s = 67893.3/s Avg:    13 Min:     0 Max:   141 Err:     0 (0.00%)
Generate Summary Results + 1978281 in    30s = 65942.7/s Avg:    15 Min:     0 Max:    80 Err:     0 (0.00%) Active: 1000 Started: 1000 Finished: 0
Generate Summary Results = 6537523 in  97.2s = 67291.0/s Avg:    14 Min:     0 Max:   141 Err:     0 (0.00%)
Generate Summary Results + 1954237 in    30s = 65141.2/s Avg:    15 Min:     0 Max:    71 Err:     0 (0.00%) Active: 1000 Started: 1000 Finished: 0
Generate Summary Results = 8491760 in   127s = 66783.8/s Avg:    14 Min:     0 Max:   141 Err:     0 (0.00%)
Generate Summary Results + 1851310 in    30s = 61710.3/s Avg:    16 Min:     0 Max:    70 Err:     0 (0.00%) Active: 1000 Started: 1000 Finished: 0
Generate Summary Results = 10343070 in   157s = 65815.3/s Avg:    14 Min:     0 Max:   141 Err:     0 (0.00%)
Generate Summary Results + 1710998 in    30s = 57033.3/s Avg:    17 Min:     0 Max:    76 Err:     0 (0.00%) Active: 1000 Started: 1000 Finished: 0
Generate Summary Results = 12054068 in   187s = 64407.6/s Avg:    15 Min:     0 Max:   141 Err:     0 (0.00%)
Generate Summary Results + 1594576 in    30s = 53152.5/s Avg:    18 Min:     0 Max:    79 Err:     0 (0.00%) Active: 1000 Started: 1000 Finished: 0
Generate Summary Results = 13648644 in   217s = 62852.7/s Avg:    15 Min:     0 Max:   141 Err:     0 (0.00%)
Generate Summary Results + 1531255 in    30s = 51041.8/s Avg:    19 Min:     0 Max:    81 Err:     0 (0.00%) Active: 1000 Started: 1000 Finished: 0
