Generate Summary Results +   1650 in     1s = 2574.1/s Avg:     4 Min:     0 Max:   286 Err:     0 (0.00%) Active: 82 Started: 82 Finished: 0
Generate Summary Results + 1731712 in    30s = 57785.4/s Avg:    15 Min:     0 Max:    87 Err:     0 (0.00%) Active: 1000 Started: 1000 Finished: 0
Generate Summary Results = 1733362 in    31s = 56577.4/s Avg:    15 Min:     0 Max:   286 Err:     0 (0.00%)
Generate Summary Results + 1849444 in    30s = 61648.1/s Avg:    16 Min:     0 Max:    61 Err:     0 (0.00%) Active: 1000 Started: 1000 Finished: 0
Generate Summary Results = 3582806 in    61s = 59086.1/s Avg:    16 Min:     0 Max:   286 Err:     0 (0.00%)
Generate Summary Results + 1797175 in    30s = 59905.8/s Avg:    16 Min:     0 Max:    69 Err:     0 (0.00%) Active: 1000 Started: 1000 Finished: 0
Generate Summary Results = 5379981 in    91s = 59357.4/s Avg:    16 Min:     0 Max:   286 Err:     0 (0.00%)
Generate Summary Results + 1798808 in    30s = 59960.3/s Avg:    16 Min:     0 Max:    65 Err:     0 (0.00%) Active: 1000 Started: 1000 Finished: 0
Generate Summary Results = 7178789 in   121s = 59507.4/s Avg:    16 Min:     0 Max:   286 Err:     0 (0.00%)
Generate Summary Results + 1780485 in    30s = 59349.5/s Avg:    16 Min:     0 Max:    58 Err:     0 (0.00%) Active: 1000 Started: 1000 Finished: 0
Generate Summary Results = 8959274 in   151s = 59475.9/s Avg:    16 Min:     0 Max:   286 Err:     0 (0.00%)
Generate Summary Results + 1697169 in    30s = 56572.3/s Avg:    17 Min:     0 Max:    67 Err:     0 (0.00%) Active: 1000 Started: 1000 Finished: 0
Generate Summary Results = 10656443 in   181s = 58993.7/s Avg:    16 Min:     0 Max:   286 Err:     0 (0.00%)
Generate Summary Results + 1632925 in    30s = 54430.8/s Avg:    18 Min:     0 Max:    77 Err:     0 (0.00%) Active: 1000 Started: 1000 Finished: 0
Generate Summary Results = 12289368 in   211s = 58343.8/s Avg:    16 Min:     0 Max:   286 Err:     0 (0.00%)
Generate Summary Results + 1581612 in    30s = 52720.4/s Avg:    18 Min:     0 Max:    74 Err:     0 (0.00%) Active: 1000 Started: 1000 Finished: 0
Generate Summary Results = 13870980 in   241s = 57642.8/s Avg:    17 Min:     0 Max:   286 Err:     0 (0.00%)
Generate Summary Results + 1541113 in    30s = 51370.4/s Avg:    19 Min:     0 Max:    76 Err:     0 (0.00%) Active: 1000 Started: 1000 Finished: 0
Generate Summary Results = 15412093 in   271s = 56947.5/s Avg:    17 Min:     0 Max:   286 Err:     0 (0.00%)
Generate Summary Results + 1505577 in    30s = 50185.9/s Avg:    19 Min:     0 Max:    78 Err:     0 (0.00%) Active: 1000 Started: 1000 Finished: 0
Generate Summary Results = 16917670 in   301s = 56272.7/s Avg:    17 Min:     0 Max:   286 Err:     0 (0.00%)
Generate Summary Results + 1343559 in    30s = 44785.3/s Avg:    22 Min:     0 Max:    87 Err:     0 (0.00%) Active: 1000 Started: 1000 Finished: 0
Generate Summary Results = 18261229 in   331s = 55230.4/s Avg:    17 Min:     0 Max:   286 Err:     0 (0.00%)
Generate Summary Results + 1209665 in    30s = 40322.2/s Avg:    24 Min:     0 Max:    86 Err:     0 (0.00%) Active: 1000 Started: 1000 Finished: 0
Generate Summary Results = 19470894 in   361s = 53990.3/s Avg:    18 Min:     0 Max:   286 Err:     0 (0.00%)
Generate Summary Results + 1191909 in    30s = 39730.3/s Avg:    25 Min:     0 Max:   128 Err:     0 (0.00%) Active: 1000 Started: 1000 Finished: 0
Generate Summary Results = 20662803 in   391s = 52895.2/s Avg:    18 Min:     0 Max:   286 Err:     0 (0.00%)
Generate Summary Results + 1395675 in    30s = 46522.5/s Avg:    21 Min:     0 Max:   205 Err:     0 (0.00%) Active: 1000 Started: 1000 Finished: 0
Generate Summary Results = 22058478 in   421s = 52440.7/s Avg:    18 Min:     0 Max:   286 Err:     0 (0.00%)
Generate Summary Results + 1439713 in    30s = 47990.4/s Avg:    20 Min:     0 Max:    83 Err:     0 (0.00%) Active: 1000 Started: 1000 Finished: 0
Generate Summary Results = 23498191 in   451s = 52144.4/s Avg:    19 Min:     0 Max:   286 Err:     0 (0.00%)
Generate Summary Results + 1441987 in    30s = 48066.2/s Avg:    20 Min:     0 Max:    86 Err:     0 (0.00%) Active: 1000 Started: 1000 Finished: 0
Generate Summary Results = 24940178 in   481s = 51889.8/s Avg:    19 Min:     0 Max:   286 Err:     0 (0.00%)
Generate Summary Results + 1500899 in    30s = 50030.0/s Avg:    19 Min:     0 Max:    82 Err:     0 (0.00%) Active: 1000 Started: 1000 Finished: 0
Generate Summary Results = 26441077 in   511s = 51780.6/s Avg:    19 Min:     0 Max:   286 Err:     0 (0.00%)
Generate Summary Results + 1584144 in    30s = 52804.8/s Avg:    18 Min:     0 Max:    96 Err:     0 (0.00%) Active: 1000 Started: 1000 Finished: 0
Generate Summary Results = 28025221 in   541s = 51837.4/s Avg:    19 Min:     0 Max:   286 Err:     0 (0.00%)
Generate Summary Results + 1608849 in    30s = 53628.3/s Avg:    18 Min:     0 Max:    71 Err:     0 (0.00%) Active: 1000 Started: 1000 Finished: 0
Generate Summary Results = 29634070 in   571s = 51931.6/s Avg:    19 Min:     0 Max:   286 Err:     0 (0.00%)
Generate Summary Results + 1628358 in    30s = 54278.6/s Avg:    18 Min:     0 Max:    75 Err:     0 (0.00%) Active: 1000 Started: 1000 Finished: 0
Generate Summary Results = 31262428 in   601s = 52048.8/s Avg:    19 Min:     0 Max:   286 Err:     0 (0.00%)
Generate Summary Results + 1620013 in    30s = 54000.4/s Avg:    18 Min:     0 Max:    88 Err:     0 (0.00%) Active: 1000 Started: 1000 Finished: 0
Generate Summary Results = 32882441 in   631s = 52141.6/s Avg:    19 Min:     0 Max:   286 Err:     0 (0.00%)
Generate Summary Results + 1613655 in    30s = 53788.5/s Avg:    18 Min:     0 Max:    86 Err:     0 (0.00%) Active: 1000 Started: 1000 Finished: 0
Generate Summary Results = 34496096 in   661s = 52216.4/s Avg:    19 Min:     0 Max:   286 Err:     0 (0.00%)
Generate Summary Results + 1602227 in    30s = 53407.6/s Avg:    18 Min:     0 Max:    67 Err:     0 (0.00%) Active: 1000 Started: 1000 Finished: 0
Generate Summary Results = 36098323 in   691s = 52268.2/s Avg:    19 Min:     0 Max:   286 Err:     0 (0.00%)
Generate Summary Results + 1596136 in    30s = 53204.5/s Avg:    18 Min:     0 Max:   164 Err:     0 (0.00%) Active: 1000 Started: 1000 Finished: 0
Generate Summary Results = 37694459 in   721s = 52307.1/s Avg:    19 Min:     0 Max:   286 Err:     0 (0.00%)
Generate Summary Results + 1597589 in    30s = 53253.0/s Avg:    18 Min:     0 Max:    83 Err:     0 (0.00%) Active: 1000 Started: 1000 Finished: 0
