Generate Summary Results + 459002 in  10.3s = 44472.6/s Avg:    10 Min:     0 Max:   130 Err:     0 (0.00%) Active: 958 Started: 958 Finished: 0
Generate Summary Results + 1395185 in    30s = 46506.2/s Avg:    21 Min:     0 Max:   234 Err:     0 (0.00%) Active: 1000 Started: 1000 Finished: 0
Generate Summary Results = 1854187 in  40.3s = 45985.6/s Avg:    18 Min:     0 Max:   234 Err:     0 (0.00%)
Generate Summary Results + 1376755 in    30s = 45891.8/s Avg:    21 Min:     0 Max:   178 Err:     0 (0.00%) Active: 1000 Started: 1000 Finished: 0
Generate Summary Results = 3230942 in  70.3s = 45945.6/s Avg:    20 Min:     0 Max:   234 Err:     0 (0.00%)
Generate Summary Results + 1350667 in    30s = 45022.2/s Avg:    22 Min:     0 Max:   182 Err:     0 (0.00%) Active: 1000 Started: 1000 Finished: 0
Generate Summary Results = 4581609 in 100.3s = 45669.5/s Avg:    20 Min:     0 Max:   234 Err:     0 (0.00%)
Generate Summary Results + 1284412 in    30s = 42775.2/s Avg:    23 Min:     0 Max:   231 Err:     0 (0.00%) Active: 1000 Started: 1000 Finished: 0
Generate Summary Results = 5866021 in   130s = 45002.8/s Avg:    21 Min:     0 Max:   234 Err:     0 (0.00%)
Generate Summary Results + 1248214 in    30s = 41644.6/s Avg:    24 Min:     0 Max:   220 Err:     0 (0.00%) Active: 1000 Started: 1000 Finished: 0
Generate Summary Results = 7114235 in   160s = 44374.9/s Avg:    21 Min:     0 Max:   234 Err:     0 (0.00%)
Generate Summary Results + 1160521 in    30s = 38684.0/s Avg:    25 Min:     0 Max:   204 Err:     0 (0.00%) Active: 1000 Started: 1000 Finished: 0
Generate Summary Results = 8274756 in   190s = 43477.9/s Avg:    22 Min:     0 Max:   234 Err:     0 (0.00%)
Generate Summary Results + 1157573 in    30s = 38585.8/s Avg:    25 Min:     0 Max:   242 Err:     0 (0.00%) Active: 1000 Started: 1000 Finished: 0
Generate Summary Results = 9432329 in   220s = 42811.8/s Avg:    22 Min:     0 Max:   242 Err:     0 (0.00%)
Generate Summary Results + 1160224 in    30s = 38648.4/s Avg:    25 Min:     0 Max:   215 Err:     0 (0.00%) Active: 1000 Started: 1000 Finished: 0
Generate Summary Results = 10592553 in   250s = 42312.5/s Avg:    23 Min:     0 Max:   242 Err:     0 (0.00%)
Generate Summary Results + 1155188 in    30s = 38532.0/s Avg:    25 Min:     0 Max:   208 Err:     0 (0.00%) Active: 1000 Started: 1000 Finished: 0
Generate Summary Results = 11747741 in   280s = 41908.2/s Avg:    23 Min:     0 Max:   242 Err:     0 (0.00%)
Generate Summary Results + 771032 in  20.2s = 38075.7/s Avg:    26 Min:     0 Max:   177 Err:     0 (0.00%) Active: 0 Started: 1000 Finished: 1000
Generate Summary Results = 12518773 in   301s = 41650.0/s Avg:    23 Min:     0 Max:   242 Err:     0 (0.00%)
