Generate Summary Results + 1666624 in    28s = 60188.7/s Avg:    23 Min:     0 Max:   228 Err:     0 (0.00%) Active: 1800 Started: 1800 Finished: 0
Generate Summary Results = 1666625 in    28s = 59840.8/s Avg:    23 Min:     0 Max:   228 Err:     0 (0.00%)
Generate Summary Results + 1766215 in    30s = 58873.8/s Avg:    30 Min:     0 Max:   231 Err:     0 (0.00%) Active: 1800 Started: 1800 Finished: 0
Generate Summary Results = 3432840 in    58s = 59339.3/s Avg:    27 Min:     0 Max:   231 Err:     0 (0.00%)
Generate Summary Results + 1618374 in    30s = 53942.2/s Avg:    33 Min:     0 Max:   224 Err:     0 (0.00%) Active: 1800 Started: 1800 Finished: 0
Generate Summary Results = 5051214 in    88s = 57496.2/s Avg:    29 Min:     0 Max:   231 Err:     0 (0.00%)
Generate Summary Results + 1563663 in    30s = 52125.6/s Avg:    34 Min:     0 Max:   218 Err:     0 (0.00%) Active: 1800 Started: 1800 Finished: 0
Generate Summary Results = 6614877 in   118s = 56129.2/s Avg:    30 Min:     0 Max:   231 Err:     0 (0.00%)
Generate Summary Results + 1552624 in    30s = 51754.1/s Avg:    34 Min:     0 Max:   179 Err:     0 (0.00%) Active: 1800 Started: 1800 Finished: 0
Generate Summary Results = 8167501 in   148s = 55241.4/s Avg:    31 Min:     0 Max:   231 Err:     0 (0.00%)
Generate Summary Results + 1539074 in    30s = 51299.0/s Avg:    35 Min:     0 Max:   166 Err:     0 (0.00%) Active: 1800 Started: 1800 Finished: 0
Generate Summary Results = 9706575 in   178s = 54576.4/s Avg:    31 Min:     0 Max:   231 Err:     0 (0.00%)
Generate Summary Results + 1527744 in    30s = 50928.2/s Avg:    35 Min:     0 Max:   190 Err:     0 (0.00%) Active: 1800 Started: 1800 Finished: 0
Generate Summary Results = 11234319 in   208s = 54049.9/s Avg:    32 Min:     0 Max:   231 Err:     0 (0.00%)
Generate Summary Results + 1512727 in    30s = 50424.2/s Avg:    35 Min:     0 Max:   204 Err:     0 (0.00%) Active: 1800 Started: 1800 Finished: 0
Generate Summary Results = 12747046 in   238s = 53592.6/s Avg:    32 Min:     0 Max:   231 Err:     0 (0.00%)
Generate Summary Results + 1508007 in    30s = 50266.9/s Avg:    35 Min:     0 Max:   169 Err:     0 (0.00%) Active: 1800 Started: 1800 Finished: 0
Generate Summary Results = 14255053 in   268s = 53220.1/s Avg:    33 Min:     0 Max:   231 Err:     0 (0.00%)
Generate Summary Results + 1506190 in    30s = 50206.3/s Avg:    35 Min:     0 Max:   179 Err:     0 (0.00%) Active: 1800 Started: 1800 Finished: 0
Generate Summary Results = 15761243 in   298s = 52916.5/s Avg:    33 Min:     0 Max:   231 Err:     0 (0.00%)
Generate Summary Results + 118461 in     3s = 43842.0/s Avg:    35 Min:    23 Max:    65 Err:     0 (0.00%) Active: 0 Started: 1800 Finished: 1800
Generate Summary Results = 15879704 in   301s = 52835.0/s Avg:    33 Min:     0 Max:   231 Err:     0 (0.00%)
