Generate Summary Results + 149187 in     4s = 39614.2/s Avg:     4 Min:     0 Max:   165 Err:     0 (0.00%) Active: 347 Started: 347 Finished: 0
Generate Summary Results + 1854984 in    30s = 61832.8/s Avg:    14 Min:     0 Max:    79 Err:     0 (0.00%) Active: 1000 Started: 1000 Finished: 0
Generate Summary Results = 2004171 in    34s = 59354.7/s Avg:    14 Min:     0 Max:   165 Err:     0 (0.00%)
Generate Summary Results + 1903212 in    30s = 63440.4/s Avg:    15 Min:     0 Max:    73 Err:     0 (0.00%) Active: 1000 Started: 1000 Finished: 0
Generate Summary Results = 3907383 in    64s = 61276.9/s Avg:    14 Min:     0 Max:   165 Err:     0 (0.00%)
Generate Summary Results + 1725171 in    30s = 57505.7/s Avg:    17 Min:     0 Max:    68 Err:     0 (0.00%) Active: 1000 Started: 1000 Finished: 0
Generate Summary Results = 5632554 in    94s = 60070.3/s Avg:    15 Min:     0 Max:   165 Err:     0 (0.00%)
Generate Summary Results + 1492492 in    30s = 49749.7/s Avg:    20 Min:     0 Max:    93 Err:     0 (0.00%) Active: 1000 Started: 1000 Finished: 0
Generate Summary Results = 7125046 in   124s = 57568.7/s Avg:    16 Min:     0 Max:   165 Err:     0 (0.00%)
Generate Summary Results + 1323133 in    30s = 44104.4/s Avg:    22 Min:     0 Max:    99 Err:     0 (0.00%) Active: 1000 Started: 1000 Finished: 0
Generate Summary Results = 8448179 in   154s = 54941.8/s Avg:    17 Min:     0 Max:   165 Err:     0 (0.00%)
Generate Summary Results + 1420456 in    30s = 47348.5/s Avg:    21 Min:     0 Max:    79 Err:     0 (0.00%) Active: 1000 Started: 1000 Finished: 0
Generate Summary Results = 9868635 in   184s = 53702.2/s Avg:    18 Min:     0 Max:   165 Err:     0 (0.00%)
Generate Summary Results + 1405469 in    30s = 46849.0/s Avg:    21 Min:     0 Max:    80 Err:     0 (0.00%) Active: 1000 Started: 1000 Finished: 0
Generate Summary Results = 11274104 in   214s = 52740.4/s Avg:    18 Min:     0 Max:   165 Err:     0 (0.00%)
Generate Summary Results + 1435026 in    30s = 47834.2/s Avg:    20 Min:     0 Max:    99 Err:     0 (0.00%) Active: 1000 Started: 1000 Finished: 0
Generate Summary Results = 12709130 in   244s = 52136.6/s Avg:    18 Min:     0 Max:   165 Err:     0 (0.00%)
Generate Summary Results + 1429564 in    30s = 47652.1/s Avg:    20 Min:     0 Max:    84 Err:     0 (0.00%) Active: 1000 Started: 1000 Finished: 0
Generate Summary Results = 14138694 in   274s = 51645.2/s Avg:    18 Min:     0 Max:   165 Err:     0 (0.00%)
Generate Summary Results + 1189668 in    27s = 44839.0/s Avg:    22 Min:     0 Max:    90 Err:     0 (0.00%) Active: 0 Started: 1000 Finished: 1000
Generate Summary Results = 15328362 in   300s = 51043.8/s Avg:    19 Min:     0 Max:   165 Err:     0 (0.00%)
