Generate Summary Results + 778486 in    17s = 46374.3/s Avg:    17 Min:     0 Max:   223 Err:     0 (0.00%) Active: 1000 Started: 1000 Finished: 0
Generate Summary Results + 1348767 in    30s = 44958.9/s Avg:    22 Min:     1 Max:    89 Err:     0 (0.00%) Active: 1000 Started: 1000 Finished: 0
Generate Summary Results = 2127253 in    47s = 45466.8/s Avg:    20 Min:     0 Max:   223 Err:     0 (0.00%)
Generate Summary Results + 1323281 in    30s = 44109.4/s Avg:    22 Min:     1 Max:    71 Err:     0 (0.00%) Active: 1000 Started: 1000 Finished: 0
Generate Summary Results = 3450534 in    77s = 44936.4/s Avg:    21 Min:     0 Max:   223 Err:     0 (0.00%)
Generate Summary Results + 1344929 in    30s = 44831.0/s Avg:    22 Min:     1 Max:    66 Err:     0 (0.00%) Active: 1000 Started: 1000 Finished: 0
Generate Summary Results = 4795463 in   107s = 44906.8/s Avg:    21 Min:     0 Max:   223 Err:     0 (0.00%)
Generate Summary Results + 1360851 in    30s = 45361.7/s Avg:    22 Min:     0 Max:    66 Err:     0 (0.00%) Active: 1000 Started: 1000 Finished: 0
Generate Summary Results = 6156314 in   137s = 45006.6/s Avg:    21 Min:     0 Max:   223 Err:     0 (0.00%)
Generate Summary Results + 1352487 in    30s = 45082.9/s Avg:    22 Min:     1 Max:   125 Err:     0 (0.00%) Active: 1000 Started: 1000 Finished: 0
Generate Summary Results = 7508801 in   167s = 45020.3/s Avg:    21 Min:     0 Max:   223 Err:     0 (0.00%)
Generate Summary Results + 1347052 in    30s = 44901.7/s Avg:    22 Min:     0 Max:    66 Err:     0 (0.00%) Active: 1000 Started: 1000 Finished: 0
Generate Summary Results = 8855853 in   197s = 45002.2/s Avg:    21 Min:     0 Max:   223 Err:     0 (0.00%)
Generate Summary Results + 1340380 in    30s = 44679.3/s Avg:    22 Min:     1 Max:    65 Err:     0 (0.00%) Active: 1000 Started: 1000 Finished: 0
Generate Summary Results = 10196233 in   227s = 44959.5/s Avg:    21 Min:     0 Max:   223 Err:     0 (0.00%)
Generate Summary Results + 1337097 in    30s = 44569.9/s Avg:    22 Min:     0 Max:    69 Err:     0 (0.00%) Active: 1000 Started: 1000 Finished: 0
Generate Summary Results = 11533330 in   257s = 44914.0/s Avg:    21 Min:     0 Max:   223 Err:     0 (0.00%)
Generate Summary Results + 1325657 in    30s = 44188.6/s Avg:    22 Min:     1 Max:    76 Err:     0 (0.00%) Active: 1000 Started: 1000 Finished: 0
Generate Summary Results = 12858987 in   287s = 44838.1/s Avg:    22 Min:     0 Max:   223 Err:     0 (0.00%)
Generate Summary Results + 1314178 in    30s = 43805.9/s Avg:    22 Min:     1 Max:   115 Err:     0 (0.00%) Active: 1000 Started: 1000 Finished: 0
Generate Summary Results = 14173165 in   317s = 44740.4/s Avg:    22 Min:     0 Max:   223 Err:     0 (0.00%)
Generate Summary Results + 1293288 in    30s = 43109.6/s Avg:    23 Min:     1 Max:    63 Err:     0 (0.00%) Active: 1000 Started: 1000 Finished: 0
Generate Summary Results = 15466453 in   347s = 44599.3/s Avg:    22 Min:     0 Max:   223 Err:     0 (0.00%)
Generate Summary Results + 1266539 in    30s = 42218.0/s Avg:    23 Min:     1 Max:    80 Err:     0 (0.00%) Active: 1000 Started: 1000 Finished: 0
Generate Summary Results = 16732992 in   377s = 44409.7/s Avg:    22 Min:     0 Max:   223 Err:     0 (0.00%)
Generate Summary Results + 1248352 in    30s = 41611.7/s Avg:    24 Min:     1 Max:    64 Err:     0 (0.00%) Active: 1000 Started: 1000 Finished: 0
Generate Summary Results = 17981344 in   407s = 44203.3/s Avg:    22 Min:     0 Max:   223 Err:     0 (0.00%)
Generate Summary Results + 1233520 in    30s = 41117.3/s Avg:    24 Min:     1 Max:    70 Err:     0 (0.00%) Active: 1000 Started: 1000 Finished: 0
Generate Summary Results = 19214864 in   437s = 43991.4/s Avg:    22 Min:     0 Max:   223 Err:     0 (0.00%)
Generate Summary Results + 1209704 in    30s = 40323.5/s Avg:    24 Min:     1 Max:    71 Err:     0 (0.00%) Active: 1000 Started: 1000 Finished: 0
Generate Summary Results = 20424568 in   467s = 43755.6/s Avg:    22 Min:     0 Max:   223 Err:     0 (0.00%)
Generate Summary Results + 1203371 in    30s = 40112.4/s Avg:    24 Min:     1 Max:    70 Err:     0 (0.00%) Active: 1000 Started: 1000 Finished: 0
Generate Summary Results = 21627939 in   497s = 43535.6/s Avg:    22 Min:     0 Max:   223 Err:     0 (0.00%)
Generate Summary Results + 1195024 in    30s = 39834.1/s Avg:    25 Min:     1 Max:    75 Err:     0 (0.00%) Active: 1000 Started: 1000 Finished: 0
Generate Summary Results = 22822963 in   527s = 43324.8/s Avg:    22 Min:     0 Max:   223 Err:     0 (0.00%)
Generate Summary Results + 1186627 in    30s = 39554.2/s Avg:    25 Min:     0 Max:    93 Err:     0 (0.00%) Active: 1000 Started: 1000 Finished: 0
Generate Summary Results = 24009590 in   557s = 43121.7/s Avg:    23 Min:     0 Max:   223 Err:     0 (0.00%)
Generate Summary Results + 1185637 in    30s = 39521.2/s Avg:    25 Min:     1 Max:    68 Err:     0 (0.00%) Active: 1000 Started: 1000 Finished: 0
Generate Summary Results = 25195227 in   587s = 42937.6/s Avg:    23 Min:     0 Max:   223 Err:     0 (0.00%)
Generate Summary Results + 1175558 in    30s = 39185.3/s Avg:    25 Min:     0 Max:   217 Err:     0 (0.00%) Active: 1000 Started: 1000 Finished: 0
Generate Summary Results = 26370785 in   617s = 42755.1/s Avg:    23 Min:     0 Max:   223 Err:     0 (0.00%)
Generate Summary Results + 1177583 in    30s = 39252.8/s Avg:    25 Min:     1 Max:    75 Err:     0 (0.00%) Active: 1000 Started: 1000 Finished: 0
Generate Summary Results = 27548368 in   647s = 42592.6/s Avg:    23 Min:     0 Max:   223 Err:     0 (0.00%)
